Name,Ticker,Average_Return,VaR,ES,Average_Return_Rank,VaR_Rank,ES_Rank
JPMorgan Chase & Co.,JPM,0.054174853880112124,5.41124916210588,13.70515199840571,17,10,7
Bank of America Corporation,BAC,0.010473340173404799,9.21984547038646,54.76692697115326,7,3,2
Wells Fargo & Company,WFC,0.03134462322844026,5.457984583280667,9.266449742215912,11,9,16
Morgan Stanley,MS,0.023763927848979873,5.272574431882718,9.662659323542844,10,11,14
"Goldman Sachs Group, Inc.",GS,0.0487972791639558,4.8929414814036525,7.728518338093744,15,17,18
U.S. Bancorp,USB,-0.030519192030151812,9.322590945973001,32.32080666907431,2,2,4
"PNC Financial Services Group, Inc.",PNC,0.010186601751320966,5.861487078489085,11.536138700263704,6,8,10
Truist Financial Corporation,TFC,-0.03705286975468575,8.297802871820615,20.480857293964522,1,4,5
Citigroup Inc.,C,0.041775331306685155,5.997421080661009,13.297674300948156,12,7,9
American Express Company,AXP,0.04886616849058804,4.92118974240121,8.625617952403978,16,16,17
Royal Bank of Canada,RY.TO,0.05998852751882729,4.666767773539816,19.760364532966705,18,18,6
S&P Global Inc.,SPGI,0.04806944571613741,5.025876417972042,10.504845867509257,14,15,13
"BlackRock, Inc.",BLK,0.023685574731749363,5.027119514095812,9.632759204822243,9,14,15
KKR & Co. Inc.,KKR,0.09169246087151742,6.242241146371976,10.839426238181964,19,6,12
The Progressive Corporation,PGR,0.045506595354699884,8.009833267491569,34.57367811029491,13,5,3
The Charles Schwab Corporation,SCHW,-0.009453361396695076,12.156778192981346,74.64354220982145,4,1,1
Chubb Limited,CB,-0.020364896993998006,5.08804826886614,13.693178531601797,3,13,8
The Toronto-Dominion Bank,TD.TO,0.018321397065423774,3.7026785387430645,7.394305827605423,8,19,19
"Marsh & McLennan Companies, Inc.",MMC,-0.0029311391735965626,5.2276127451407115,11.4165926346274,5,12,11
